	Cycle	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
	1	-8.18622599491482	-7.9325660465729	-3313.95846438379	-4078.7901159129	-9.27081914837891	127.645397999057	164.352385886673	130.473015633012	-3.1594110516844	-6.67525142192517	-1.72608800074067	-6.64617973023996	-1.38688698922078	-6.14469819549004	960.450062240468	938.56524033121	-2.44224647893589	386.15557323199	374.139689424876	294.183916959351	-4.77308064190674	-2.77700209979093	-7.96370476858328	-4.42924424642024	-2.71402743870885	-6.37243512141913	109.080060298446	33.6826576600847	-12.1178511413545	232.295737336779	242.194468531739	254.612117914215	-8.36500733196908	-6.29039577285403	2.46692300655104	-3.12302368027986	-6.56973810588624	-4.85967726405033	35.367070582377	40.0255945110343	-8.4621562448001	352.33585126359	331.585896350667	331.086246952627	-8.3974193371655	-5.09017382471848	-4.12080318066955	-4.26911941733988	-2.84192883629748	-6.37363493592056	12.9505839881626	22.596740557351	-7.75664169687434	218.039201021957	260.318643030557	221.377955334417	-12.9025790333244	-7.97257875042533	-2.27317546376298	-5.78022020094068	-4.65214061096913	-7.6553907130683	-9.73032825289329	1.79819185569158	-3.80144872910842	192.119279405585	226.002087708656	238.106146943852	-7.85644325210615	-2.38779962158515	-3.9440613533111	-5.1674760164974	-6.39835106523878	-4.82642134827756	16.9048029889018	-2.68130034362912	-2.31400612754533	60.104348909927	50.6876671006944	49.8626459490379	-8.06672785888759	-1.23869262524158	1.48434092230582	-9.86695464501145	6.52355198303167	-1.54568415880885	-2.59715216985796	7.61187924344631	-3.9127019584862	23.9503086321456	38.6411252201628	37.8612128382301	-5.38074338172601	-4.99488772664063	-3.01337146622109	-9.34444432286091
	2	-5.91672212293224	-7.88569008427112	-2702.59829157458	-3342.982631877	-6.16182871277533	136.936631170967	192.542008092631	154.16805289404	-7.16810712839924	-1.03662365340597	-7.90933821230419	-4.02478022961714	-6.36331877808743	-4.87421700207597	1099.2694730991	1066.55563252107	-5.26029339790966	440.694363228589	416.52218890018	323.687873860223	-3.98582692996888	-2.92325875712777	-3.50112737207382	-5.45707040582147	-2.12255786245396	-4.74591699546181	129.659704867182	103.755705518345	-9.62313158086909	254.49256595167	272.605289525632	285.627184438603	-7.49760309824705	-4.75317942803258	0.451975443505489	-7.55497487814955	-3.90070181837791	-1.00981938203222	42.8716467820336	44.4137848442037	-7.10059457278703	399.606269797209	393.221105056215	373.115161691166	-5.32900786579876	-9.23769614241337	-4.14496481165224	-4.00897002822649	-9.45681874000957	-4.22311712945566	16.064873209983	26.280230910922	-9.44921596417635	245.808177924366	288.494114489638	251.144529001447	2.88535383836825	-3.57374139012063	-4.78691185776552	-6.86387412509021	-2.35545874555646	-9.37127966586013	1.06499535957118	-1.36797981949894	-2.60902891073647	223.147531332088	259.369321854293	272.169559818858	-6.41772709597126	-5.99230876765705	-7.75756745275021	0.22382960157347	-3.26023902953693	-2.54884737526982	9.97276793572109	-2.15278701992702	-1.91877108077369	68.2129157291356	56.2063275899286	52.9113849912833	0.434614353237521	-5.07788582220064	0.0403989561218623	-7.65111049549023	1.78455645356735	-3.67384777298912	6.2841256689444	6.25532619704154	-5.86455929143813	30.6787106555721	33.2797689346048	19.3910575475898	-4.47928278545805	-7.08934380839673	-3.66544018621107	-5.36800732370102
	3	-2.50214295064052	-3.32767578250741	-2202.86484261725	-2673.68418048205	-1.34228443288612	159.673349014696	225.713222529863	184.198988323041	0.704380948860944	-2.70365643993773	-3.72152887454558	-5.85630031580968	-1.15356390896795	-4.87641707757302	1352.63679246435	1309.69820738253	1.12074606781334	531.624922464109	497.951277538829	398.479918947631	-2.96036879404119	-0.689820044655789	-4.66121393085632	0.442037576320672	-0.0560946436949052	-4.48424689623835	150.885316771216	122.299529897107	-6.79925486492539	316.905709695991	332.993771611735	339.813183167264	-0.111697909154373	0.213983497319532	-3.29649401388724	-0.341283222976017	-3.60945892323298	3.55251762449734	49.3649434134013	54.285134563625	-7.43328374654675	483.283870877078	474.414645009599	450.640999662663	-5.6218215563249	-6.43072706180919	-1.01449859044897	-7.55893715066077	-3.3872953199384	-0.546869124335444	8.57568915479442	12.9200329848368	-0.615186441702463	297.549111054925	355.152157882768	306.735809752582	-4.37540077566746	-2.4722124417649	-5.23673394089792	-7.21112841928198	-4.90674906901086	-6.44727987957413	2.47701515547078	3.19383720962969	-0.729933163437636	263.561001069663	305.867513023605	328.85252996766	-0.02138762130744	-3.57577002103562	-3.19884627169449	-3.85761557837077	-1.60572808586994	-2.16257554830918	8.45679784317963	5.97424596035671	-3.71841413183029	72.5238171890715	64.6584972899509	60.4564288394245	-3.03526164471714	-3.30299111003887	-1.24455617846525	1.26783840747612	0.832458388985742	0.309728428539984	7.99282068748107	9.93318281669826	-5.09536046160792	30.9824490650813	19.2466763732214	11.2263460811932	-1.72461011702899	-4.05642757481201	-2.60815247098662	-5.00491117406773
	4	-0.29872260083539	-1.58459976475842	-1717.14266767661	-2103.57248842495	-3.09536488575532	212.897798686258	300.950963373151	245.598651097389	-2.16067356311805	-0.311122702089961	1.09492388645094	-6.4951379326335	-3.29112772719054	-5.78714943093928	1803.51572328579	1746.26427651005	-0.527811147230295	708.833229952141	663.935036718437	531.306558596844	-6.56163385888249	-1.49324564525432	-6.82152691091551	2.05605067810529	-2.13231427404207	-1.60923128659715	201.180422361619	163.06603986281	-4.15944701470517	422.540946261314	443.991695482312	453.084244223021	1.09635911912255	-3.05893162697021	-7.23003090633802	-3.32673449560571	-0.0993938777687617	-3.55855805061947	52.491485195806	55.3621213343904	-4.9431973546657	644.378494502774	632.552860012805	600.854666216878	-4.984323148763	-2.2320915332034	-6.2294368034386	-2.12020393256716	-0.90814864114509	-0.762645723749756	10.507562118094	7.29880258200592	-1.74252493191807	396.732148073237	473.536210510355	408.981079670104	0.0592508092809112	-0.149978457846828	-7.6717078362035	-2.24907846599035	-0.823398330739565	-2.26353011250285	-1.02759495242071	3.57637175597483	-2.67753455732372	351.414668092882	407.823350698131	438.470039956885	-1.68270271767869	-6.12856685594215	-2.49191386241228	-1.43661226697031	-2.01510592190243	-1.51609590334692	6.54460131869291	7.80416955866258	1.88052068620891	80.7245572165484	71.044032719255	67.1448297114271	-4.39022341589771	-3.3564568722345	-1.74285860961481	2.80042054016258	0.957727109093867	-3.02816226738696	7.64935761995685	9.1147994177345	-3.39365534917488	33.820512407211	4.08217466084443	10.485102420128	-1.1116216045034	-4.40298770812296	-0.881979749743095	-6.71962466095192
	5	-3.73305968387194	-0.405553291668184	-1298.56222414366	-1626.54439878102	-1.06345947812679	307.31007620738	440.165533796331	365.164744370991	-6.58928437764371	-5.11939665558339	-2.47209204672026	3.5518885311667	-2.27429744369829	0.635809162123223	2509.71774492049	2453.26855548645	-2.62335589644181	1017.56672745413	960.06577853926	788.299334503553	1.40154415798361	-5.91000203855629	-4.64454108052632	-6.7651442526012	-2.0914646552651	0.872934914479174	285.959271754723	257.097915726469	-3.41312445876611	633.063514306321	655.184355677773	660.87328497306	0.163431155407579	-4.42593884327653	1.33579227241216	0.0485658761576815	-3.64530475170841	-2.51881003117705	65.9094221211408	66.9672980535875	0.807614016463958	932.124062095932	924.688165194191	877.009444076603	1.98782664323562	0.796311351706663	-0.130602990420357	-1.21532359035382	-1.39882659955083	-2.35811647194396	1.84751859198332	-2.96031717381584	-3.02813111583782	597.55544924182	699.10683412181	602.45823959977	-5.61234790881645	-0.586633675551184	2.10225795405859	-1.34879781153268	-1.28586283877758	-2.50756957588465	6.495115003499	6.20652316417863	-0.971328134133728	515.993738263444	593.467894192318	644.30147525429	-3.44961407661913	-2.9777860034319	0.673723139113463	-5.88674223584167	0.177598723914343	0.76195795265312	7.59058831512448	4.53581723604202	0.593206897438904	98.0325887838681	88.2213621786264	82.2845718312115	-4.68080136118033	1.71525637322929	4.46244224523707	-6.75936573129911	-3.99050594071377	-6.12880453217895	4.62461205294812	4.63047903627148	-1.87631010915447	38.8145033974861	-4.17016667409644	-5.51334535849173	-4.19195140313059	1.48050425305655	-2.13879390313014	4.19596820562583
	6	-2.69865268059129	1.57453128703992	-952.40928080268	-1191.65018195094	4.41108092953573	487.30443585217	686.527058765832	581.378706444954	3.26789397605535	-3.34477115724803	-2.4911309824065	-1.56691877696358	-2.3491711476795	-1.07548768688366	3301.97588766738	3263.54359365851	-2.69545644461368	1552.85672286317	1496.64401879213	1244.00198775498	-5.11809554416368	-4.29592907778169	-1.00934889653172	2.98457711734363	-2.6677923409984	-2.21851470791671	450.879971875353	432.360907832964	-0.825999266812687	1011.38539886064	1057.52933644249	1053.06032224745	-2.08505254036527	-1.93065000025854	-2.65017616179694	0.754958465276559	-0.410556081381401	1.58122055310741	85.2940565826589	80.0165379878431	-1.61582099795214	1450.0799342855	1449.08331082518	1378.45807895726	0.116857135316877	-4.57192081021503	-0.693675127318784	-1.61209968886715	-0.258410527978867	-1.71945902419611	1.86136439766233	0.933455505691654	1.69173194382074	959.213302727125	1118.24727960513	965.469688982879	-0.0603908012608372	1.06501866732606	-0.135446284486079	1.16965297043862	0.0383412071755629	0.415234759107534	6.06621108237368	2.04089650070455	1.12966693228236	820.600121629187	939.104985565268	1024.90942746163	-4.66421149058988	-2.69172224827344	0.934652099811956	1.96229369213688	-4.72711370853722	-3.89963612065458	7.83431796985678	4.3426221584582	-0.734097834807471	139.035254361197	123.218314665161	115.704320522575	0.495919130692528	-2.60870747341005	3.49229491259712	-3.12384758592816	-1.82937339865339	-0.46289552297867	1.50891147425091	2.73386531441747	-0.804229886138273	48.1840888374427	-5.67964478330168	-8.25064997187155	-0.911770411215457	-0.468620221242418	5.52749313035292	3.40153004998865
	7	0.0841300088445678	1.42582018328403	-703.741111758817	-852.454672596694	-2.36185932619446	822.468023593854	1129.3499911255	992.963075846528	-4.30050215960546	-1.38457653352589	-7.09523077573476	2.98719897282217	-0.292833026548124	0.972351657321269	3883.0231922744	3839.71086846857	-2.58224910512354	2359.51794076856	2313.97746855851	1986.56938874892	0.191770823822026	-2.32462257531824	-2.78830721819304	-5.69129591105366	1.88202474485161	0.289976857288366	752.898133697931	762.477370392995	-1.23454721267763	1672.51192597181	1743.12618773329	1725.37018395103	-2.36033106911282	-3.48078870165637	-2.24494764659948	1.68666383944947	-2.97133644836731	-7.40653187211774	104.469548978226	116.605180780999	-0.818519956323144	2265.48161813714	2275.32718237449	2193.26745616048	-0.17765010184803	-3.02709301972163	-1.93952645971149	-1.61359921167013	2.31362482091345	1.15527169355164	0.403188112579301	-6.61838642277917	-1.51198708609809	1594.88314575792	1823.38581864245	1591.44001907004	-1.92017108952086	-4.27345491173537	0.308192441949359	2.05749363637915	0.52199004947397	1.06537357334082	4.79805074363776	3.50212639766323	-2.74871449006832	1367.54878102559	1539.12092423612	1677.65077437533	-1.06795727570807	2.31229044460679	1.31408533670583	4.66102840394069	-1.75874181810013	-0.386746671050332	1.63957906095311	0.496434359434716	3.65632567501052	212.842069703429	190.230330134749	178.853055830851	0.259711024782973	-0.0993414314357324	-0.001427018254617	0.262456614585517	0.463908130011987	-0.619828922597208	-1.85691602407178	2.3242934143891	0.621662980931887	67.7012144892637	-0.881210285670477	-0.0415757509781542	2.09310005339285	0.815914423245431	-1.91841044660623	-0.76921936238341
	8	2.78767187577114	-2.44203988376012	-524.255261155095	-598.619394799099	0.512051242903908	1396.50131732507	1794.97012399601	1644.42958175536	1.92896258131623	-1.21300247187173	3.07025538399648	2.25812921142278	-0.301867868633508	2.54616492785499	4420.97209773021	4376.4902826749	-1.40463232861339	3042.00011220357	3107.81151941982	2854.02580668755	1.79468233527177	1.51065560165216	2.35922660434881	0.930111045002832	0.568302916009088	1.31271778461542	1298.05820399736	1336.28705617969	5.61039576711573	2607.49209082148	2645.71124306314	2701.10454265877	1.93653322160162	0.934310328590527	1.52269476269203	3.0643682363534	-0.43350246552518	3.0147524120498	161.623690828439	186.271369786433	1.06804513192856	3088.058434142	3142.33589672955	3154.93963063195	-0.498482805676758	0.974261228237992	0.427957867139412	0.132066842324093	2.59911272669069	0.282807891820994	9.58983914981309	-6.42987079289969	-2.6917637276697	2520.69075178412	2757.71003434189	2539.61573496641	2.01459227142323	0.95397425292731	0.160015105380808	1.78925849403686	-2.08194114995786	1.7282021541323	1.62245209925049	3.33266910698194	-1.89646073854692	2206.51262111739	2408.91656901422	2580.57867896363	-2.28255481165252	1.96825303449305	0.904922177496246	4.63965168893037	-2.95673285654902	-3.10268427079791	-1.70417177746458	1.70853152099471	0.121715289355961	347.771785295176	314.988200799817	306.922860086419	-1.51614056744575	1.54363656555233	-5.00553977595337	0.0724997160177736	-0.764679626053294	-3.24692035326279	-4.28935698802752	1.73006780799142	1.60083774712803	110.465685222627	22.5266029629734	18.0898139065271	-3.83975559598457	0.956073075696622	4.68324115901441	-4.03456193200327
	9	1.14074307532701	-2.52489256724539	-385.891377860474	-430.774134746996	3.66005501253221	2200.42720631749	2415.0653625526	2485.24462185054	2.37608399647752	1.06175210995434	4.2211947828514	-2.69022253185585	-1.47964979998687	-0.756710629727877	4877.31729212018	4832.82669644409	3.81940047022272	3504.76269969341	3628.20233159612	3435.62798542944	4.25106831610674	1.57410582133889	3.44500570043738	1.24149157429974	-2.83420243600767	0.849707126250905	2153.48805037287	2229.97405643448	1.83579947410635	3417.12180483111	3378.11795218156	3565.1287453673	-3.74116837582596	1.95798239361329	-2.64761935104571	2.0494449470325	0.42155281093892	0.031765807733791	266.195527872167	307.966378888952	1.81145133884502	3621.18294942517	3711.12484342067	3789.96007612366	-1.35918336353734	6.3943252712229	3.91251204577065	0.734819735559086	3.31743682188562	6.40144958557767	9.6689479601223	0.0132370991245807	-2.033409111124	3366.71028559944	3446.21792617123	3429.20198534173	2.53305540333304	-3.96483627077941	0.523673890944792	-4.01259787544541	-0.377808854328123	-0.119611233033538	0.654823654912889	0.849505000618592	-0.46604689957303	3051.08719093728	3189.41049353272	3332.09327402505	-0.605845557756311	-1.4255745898904	-4.14416040404194	-1.29721070863889	2.25798123295499	-3.15238876648391	-4.20769795132492	-1.86300604927465	-3.3085258989363	611.440954236251	556.132470162433	535.909646799577	2.79322371816488	3.8810911685473	-5.01736686650702	-1.61516486686514	3.13192990324615	1.81304351361496	1.71452443757471	-6.68513133035731	1.3439599754206	198.030885586695	80.7205970778296	61.2308170164251	4.1839934293389	2.10770844370381	-4.31474501622779	7.44578435810763
	10	-3.26630055361829	-0.243168981946837	-289.634524889579	-310.646195550715	2.66947417384972	2829.10580863353	2882.02936794821	3063.56292166289	2.98023587962189	3.69154979593077	3.79444330147498	4.74178638410694	3.38752802922954	3.32702161715724	5245.82933268875	5211.44100091536	2.60365647750086	3912.69709988398	4089.72572130823	3940.63406094147	-6.02698853121137	2.83460031844652	4.21548078708156	-0.0487259275182623	2.01702121915423	2.17506213309571	3065.26010308907	3111.12475111383	-3.30459361918429	3931.83580956209	3853.93182331674	4115.86971322655	0.502536215758937	4.04677792702205	2.96082478815151	-1.68462027307169	-0.285732617796384	1.81963708685271	455.861111963504	527.714906363502	7.43131675480981	4086.64837397161	4205.27596070477	4333.94575821834	-0.852154817884184	2.64206861186722	5.78059665560249	0.534828340616968	-3.03313359195408	-1.75107280951579	29.8552985832557	20.6897944419939	0.0587563454482734	3902.17178688396	4030.27764592699	3997.68039971625	-1.49550077118647	1.56423065883428	2.32115338809717	-3.74266227518001	0.973462232636848	-3.41222859487289	-4.38645036294292	-1.60724037087084	0.518127916087906	3574.89994813329	3687.33773076246	3809.26504902552	1.45174282409789	1.44965890817548	2.33219025348853	-3.43518137234423	1.75593029119727	0.768707633093982	-4.92375094003637	-2.67337843136966	2.31698504780661	1085.4765289052	992.895997816564	971.622436798577	3.488276221256	1.00265362026448	-0.442428499984089	-0.318873067671575	-0.0554823975003274	1.95849539250139	-1.50700583300613	-9.78903262022186	-1.88298622532011	347.903530140877	197.345097540767	155.00726523443	-0.0126689256112513	-2.32426838718629	-0.945289781554038	2.6303056053207
